scenario,method,repetition,seed,truth,estimate,se,ci_low,ci_high
good_overlap,naive,48,2074,2000.0,3094.1710668291516,162.18129699404187,2776.2957247208296,3412.0464089374736
good_overlap,linear,48,2074,2000.0,2343.7393238044874,161.01879431262998,2028.1424869517327,2659.336160657242
good_overlap,hgb,48,2074,2000.0,1881.2101458927452,222.86951615633328,1444.385894226332,2318.0343975591586
good_overlap,naive,49,2075,2000.0,3308.0140194761125,162.06059194440834,2990.375259265072,3625.652779687153
good_overlap,linear,49,2075,2000.0,2387.566057631163,160.82673084864152,2072.3456651678257,2702.7864500945
good_overlap,hgb,49,2075,2000.0,2158.381291872042,187.98118458806294,1789.9381700794384,2526.8244136646454
good_overlap,naive,50,2076,2000.0,3356.303271987347,165.0151059193743,3032.8736643853736,3679.732879589321
good_overlap,linear,50,2076,2000.0,2548.8566847322645,152.87109097826462,2249.229346414866,2848.484023049663
good_overlap,hgb,50,2076,2000.0,2170.4064024637546,192.88599101371693,1792.3498600768694,2548.46294485064
good_overlap,naive,51,2077,2000.0,3214.181905738551,165.63399093142982,2889.5392835129487,3538.8245279641533
good_overlap,linear,51,2077,2000.0,2354.4990864802485,161.29819342007093,2038.3546273769093,2670.6435455835876
good_overlap,hgb,51,2077,2000.0,1926.7522308974399,201.30936648187702,1532.185872592961,2321.3185892019187
good_overlap,naive,52,2078,2000.0,3466.327059030814,174.711197253574,3123.893112413809,3808.761005647819
good_overlap,linear,52,2078,2000.0,2714.6826924506304,199.72980343357386,2323.2122777208256,3106.153107180435
good_overlap,hgb,52,2078,2000.0,1968.7011511397723,249.22586763818117,1480.2184505689372,2457.1838517106075
good_overlap,naive,53,2079,2000.0,3374.567625420528,166.2347084525894,3048.747596853453,3700.3876539876032
good_overlap,linear,53,2079,2000.0,2390.067326392416,170.35293455247586,2056.175574669563,2723.9590781152688
good_overlap,hgb,53,2079,2000.0,1870.83573799714,216.06009549726815,1447.3579508224946,2294.313525171786
good_overlap,naive,54,2080,2000.0,3661.059663386501,163.06887285188213,3341.4446725968123,3980.67465417619
good_overlap,linear,54,2080,2000.0,2848.4894816879882,169.7552221112157,2515.7692463500057,3181.209717025971
good_overlap,hgb,54,2080,2000.0,2230.7481011984546,222.91956172117003,1793.8257602249614,2667.670442171948
good_overlap,naive,55,2081,2000.0,3312.1181856461453,167.1104877432958,2984.5816296692856,3639.654741623005
good_overlap,linear,55,2081,2000.0,2658.723535639907,157.92650196334833,2349.187591791744,2968.2594794880697
good_overlap,hgb,55,2081,2000.0,2111.540447154849,192.82634186745608,1733.6008170946352,2489.480077215063
good_overlap,naive,56,2082,2000.0,2968.624058703572,163.91850697452358,2647.343785033506,3289.9043323736378
good_overlap,linear,56,2082,2000.0,2177.1852024729947,154.11754148793187,1875.1148211566483,2479.255583789341
good_overlap,hgb,56,2082,2000.0,2211.931562299769,177.17545938129132,1864.6676619124382,2559.1954626871
good_overlap,naive,57,2083,2000.0,3074.731812285263,161.0573270588033,2759.0594512500084,3390.4041733205177
good_overlap,linear,57,2083,2000.0,2451.4251585179036,149.99004704691612,2157.444666305948,2745.405650729859
good_overlap,hgb,57,2083,2000.0,1986.6424230424195,187.86608298962227,1618.42490038276,2354.859945702079
